14-04-2024,18:00:35;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:03:15;SEND_DATA;LUM-0-O;NONE
14-04-2024,18:05:46;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:07:01;SEND_DATA;LUM-0-O;NONE
14-04-2024,18:09:36;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:10:07;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:13:03;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:13:18;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:13:56;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:14:07;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:14:23;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:15:24;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:15:43;SEND_DATA;LUM-0-O;NONE
14-04-2024,18:16:31;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:18:56;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:19:05;SEND_DATA;LUM-0-O;NONE
14-04-2024,18:19:15;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:22:14;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:24:48;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:26:58;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:27:31;SEND_DATA;LUM-0-O;NONE
14-04-2024,18:28:27;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:29:14;SEND_DATA;LUM-0-O;NONE
14-04-2024,18:30:14;SEND_DATA;LUM-0-O;NONE
14-04-2024,18:30:37;SEND_DATA;LUM-0-I;NONE
14-04-2024,18:31:04;SEND_DATA;LUM-0-I;NONE
15-04-2024,09:42:29;SEND_DATA;LUM-0-I;NONE
15-04-2024,09:43:30;SEND_DATA;LUM-0-I;NONE
15-04-2024,09:49:07;SEND_DATA;LUM-0-I;NONE
15-04-2024,09:50:24;SEND_DATA;LUM-0-I;NONE
15-04-2024,09:51:05;SEND_DATA;LUM-0-O;NONE
15-04-2024,09:52:46;SEND_DATA;LUM-0-I;NONE
15-04-2024,09:54:33;SEND_DATA;LUM-0-I;NONE
15-04-2024,09:56:23;SEND_DATA;LUM-0-O;NONE
15-04-2024,09:56:32;SEND_DATA;LUM-0-O;NONE
15-04-2024,09:56:45;SEND_DATA;LUM-0-O;NONE
15-04-2024,09:57:07;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:02:52;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:03:38;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:04:01;GET_DATA;LUM-0-I;NONE
15-04-2024,10:06:45;SEND_DATA;LUM-0-O;NONE
15-04-2024,10:07:06;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:07:37;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:25:34;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:27:10;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:28:27;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:48:20;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:48:45;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:49:07;SEND_DATA;LUM-0-I;NONE
15-04-2024,10:51:25;GET_DATA;LUM-0-O;NONE
15-04-2024,11:32:52;SEND_DATA;LUM-0-I;NONE
15-04-2024,11:35:39;SEND_DATA;LUM-0-I;NONE
15-04-2024,11:36:35;SEND_DATA;LUM-0-I;NONE
15-04-2024,11:37:52;SEND_DATA;LUM-0-I;NONE
15-04-2024,11:40:17;GET_DATA;LUM-0-O;NONE
